Date,Department,Available_Beds,Occupied_Beds,Bed_Occupancy_Rate,Doctors_Planned,Doctors_On_Duty,Nurses_Planned,Nurses_On_Duty,Emergency_Admissions
2022-01-05,Cardiology,44,40,0.9091,4,4,9,9,7
2022-01-05,General Surgery,42,37,0.881,4,4,9,9,5
2022-01-05,Internal Medicine,64,56,0.875,6,6,13,13,4
2022-01-05,Neurology,36,28,0.7778,4,4,8,8,6
2022-01-05,Obstetrics,40,30,0.75,4,4,8,8,6
2022-01-05,Oncology,38,33,0.8684,4,4,8,8,3
2022-01-05,Orthopedics,48,37,0.7708,5,5,10,10,4
2022-01-05,Urology,30,23,0.7667,3,3,6,6,4
2022-01-06,Cardiology,44,34,0.7727,4,4,9,9,11
2022-01-06,General Surgery,42,35,0.8333,4,4,9,9,10
2022-01-06,Internal Medicine,64,55,0.8594,6,6,13,13,9
2022-01-06,Neurology,36,27,0.75,4,4,8,8,3
2022-01-06,Obstetrics,40,29,0.725,4,4,8,8,7
2022-01-06,Oncology,38,31,0.8158,4,4,8,8,10
2022-01-06,Orthopedics,48,38,0.7917,5,5,10,10,10
2022-01-06,Urology,30,23,0.7667,3,3,6,6,7
2022-01-07,Cardiology,44,36,0.8182,4,4,9,8,9
2022-01-07,General Surgery,42,34,0.8095,4,4,9,9,6
2022-01-07,Internal Medicine,64,63,0.9844,6,6,13,13,6
2022-01-07,Neurology,36,27,0.75,4,4,8,8,15
2022-01-07,Obstetrics,40,32,0.8,4,4,8,8,8
2022-01-07,Oncology,38,32,0.8421,4,4,8,8,4
2022-01-07,Orthopedics,48,40,0.8333,5,5,10,10,13
2022-01-07,Urology,30,21,0.7,3,3,6,6,5
2022-01-08,Cardiology,44,38,0.8636,4,4,9,8,5
2022-01-08,General Surgery,42,32,0.7619,4,4,9,9,21
2022-01-08,Internal Medicine,64,58,0.9062,6,6,13,13,9
2022-01-08,Neurology,36,25,0.6944,4,4,8,8,10
2022-01-08,Obstetrics,40,30,0.75,4,4,8,8,4
2022-01-08,Oncology,38,31,0.8158,4,4,8,8,8
2022-01-08,Orthopedics,48,38,0.7917,5,5,10,10,7
2022-01-08,Urology,30,21,0.7,3,3,6,6,6
2022-01-09,Cardiology,44,36,0.8182,4,3,9,9,1
2022-01-09,General Surgery,42,33,0.7857,4,4,9,9,3
2022-01-09,Internal Medicine,64,58,0.9062,6,6,13,12,4
2022-01-09,Neurology,36,26,0.7222,4,4,8,8,4
2022-01-09,Obstetrics,40,27,0.675,4,4,8,8,4
2022-01-09,Oncology,38,32,0.8421,4,4,8,8,9
2022-01-09,Orthopedics,48,35,0.7292,5,5,10,10,5
2022-01-09,Urology,30,20,0.6667,3,3,6,6,5
2022-01-10,Cardiology,44,41,0.9318,4,4,9,9,6
2022-01-10,General Surgery,42,35,0.8333,4,4,9,9,7
2022-01-10,Internal Medicine,64,57,0.8906,6,6,13,13,5
2022-01-10,Neurology,36,31,0.8611,4,4,8,8,5
2022-01-10,Obstetrics,40,31,0.775,4,4,8,8,4
2022-01-10,Oncology,38,32,0.8421,4,4,8,8,7
2022-01-10,Orthopedics,48,37,0.7708,5,5,10,9,10
2022-01-10,Urology,30,24,0.8,3,3,6,6,3
2022-01-11,Cardiology,44,40,0.9091,4,4,9,9,8
2022-01-11,General Surgery,42,34,0.8095,4,4,9,9,3
2022-01-11,Internal Medicine,64,56,0.875,6,6,13,13,10
2022-01-11,Neurology,36,28,0.7778,4,4,8,8,10
2022-01-11,Obstetrics,40,29,0.725,4,4,8,8,7
2022-01-11,Oncology,38,35,0.9211,4,4,8,8,4
2022-01-11,Orthopedics,48,39,0.8125,5,5,10,10,3
2022-01-11,Urology,30,24,0.8,3,3,6,5,9
2022-01-12,Cardiology,44,40,0.9091,4,4,9,8,7
2022-01-12,General Surgery,42,36,0.8571,4,3,9,9,3
2022-01-12,Internal Medicine,64,57,0.8906,6,6,13,13,8
2022-01-12,Neurology,36,29,0.8056,4,4,8,7,7
2022-01-12,Obstetrics,40,28,0.7,4,4,8,8,4
2022-01-12,Oncology,38,31,0.8158,4,4,8,8,5
2022-01-12,Orthopedics,48,36,0.75,5,4,10,10,9
2022-01-12,Urology,30,21,0.7,3,3,6,5,6
2022-01-13,Cardiology,44,38,0.8636,4,4,9,9,4
2022-01-13,General Surgery,42,32,0.7619,4,4,9,9,4
2022-01-13,Internal Medicine,64,62,0.9688,6,5,13,13,5
2022-01-13,Neurology,36,29,0.8056,4,4,8,8,9
2022-01-13,Obstetrics,40,33,0.825,4,4,8,8,4
2022-01-13,Oncology,38,32,0.8421,4,4,8,8,2
2022-01-13,Orthopedics,48,38,0.7917,5,5,10,10,5
2022-01-13,Urology,30,23,0.7667,3,3,6,6,6
2022-01-14,Cardiology,44,37,0.8409,4,4,9,9,4
2022-01-14,General Surgery,42,35,0.8333,4,4,9,9,5
2022-01-14,Internal Medicine,64,55,0.8594,6,6,13,13,10
2022-01-14,Neurology,36,28,0.7778,4,4,8,8,11
2022-01-14,Obstetrics,40,27,0.675,4,4,8,8,4
2022-01-14,Oncology,38,35,0.9211,4,4,8,8,7
2022-01-14,Orthopedics,48,38,0.7917,5,5,10,10,8
2022-01-14,Urology,30,24,0.8,3,3,6,6,2
2022-01-15,Cardiology,44,38,0.8636,4,4,9,8,8
2022-01-15,General Surgery,42,30,0.7143,4,4,9,9,5
2022-01-15,Internal Medicine,64,52,0.8125,6,6,13,13,5
2022-01-15,Neurology,36,29,0.8056,4,4,8,8,12
2022-01-15,Obstetrics,40,30,0.75,4,4,8,8,3
2022-01-15,Oncology,38,30,0.7895,4,4,8,8,4
2022-01-15,Orthopedics,48,38,0.7917,5,5,10,10,11
2022-01-15,Urology,30,22,0.7333,3,3,6,6,4
2022-01-16,Cardiology,44,37,0.8409,4,4,9,9,10
2022-01-16,General Surgery,42,33,0.7857,4,4,9,8,8
2022-01-16,Internal Medicine,64,56,0.875,6,6,13,13,8
2022-01-16,Neurology,36,28,0.7778,4,4,8,8,12
2022-01-16,Obstetrics,40,26,0.65,4,4,8,8,4
2022-01-16,Oncology,38,32,0.8421,4,4,8,8,14
2022-01-16,Orthopedics,48,35,0.7292,5,4,10,10,8
2022-01-16,Urology,30,21,0.7,3,3,6,6,4
2022-01-17,Cardiology,44,37,0.8409,4,4,9,9,8
2022-01-17,General Surgery,42,36,0.8571,4,4,9,9,3
2022-01-17,Internal Medicine,64,55,0.8594,6,6,13,13,6
2022-01-17,Neurology,36,31,0.8611,4,4,8,8,5
2022-01-17,Obstetrics,40,30,0.75,4,4,8,8,3
2022-01-17,Oncology,38,33,0.8684,4,3,8,7,4
2022-01-17,Orthopedics,48,35,0.7292,5,5,10,10,3
2022-01-17,Urology,30,22,0.7333,3,3,6,6,2
2022-01-18,Cardiology,44,35,0.7955,4,4,9,9,6
2022-01-18,General Surgery,42,39,0.9286,4,4,9,9,9
2022-01-18,Internal Medicine,64,57,0.8906,6,6,13,13,7
2022-01-18,Neurology,36,26,0.7222,4,4,8,8,6
2022-01-18,Obstetrics,40,30,0.75,4,4,8,8,2
2022-01-18,Oncology,38,35,0.9211,4,4,8,8,6
2022-01-18,Orthopedics,48,35,0.7292,5,5,10,10,8
2022-01-18,Urology,30,23,0.7667,3,3,6,6,7
2022-01-19,Cardiology,44,38,0.8636,4,4,9,9,6
2022-01-19,General Surgery,42,35,0.8333,4,4,9,9,4
2022-01-19,Internal Medicine,64,56,0.875,6,6,13,13,4
2022-01-19,Neurology,36,30,0.8333,4,3,8,8,2
2022-01-19,Obstetrics,40,30,0.75,4,4,8,8,3
2022-01-19,Oncology,38,30,0.7895,4,4,8,8,5
2022-01-19,Orthopedics,48,41,0.8542,5,5,10,10,3
2022-01-19,Urology,30,24,0.8,3,3,6,6,4
2022-01-20,Cardiology,44,39,0.8864,4,4,9,9,8
2022-01-20,General Surgery,42,34,0.8095,4,4,9,8,4
2022-01-20,Internal Medicine,64,59,0.9219,6,6,13,13,9
2022-01-20,Neurology,36,28,0.7778,4,3,8,8,3
2022-01-20,Obstetrics,40,31,0.775,4,4,8,8,6
2022-01-20,Oncology,38,35,0.9211,4,4,8,8,1
2022-01-20,Orthopedics,48,37,0.7708,5,5,10,10,7
2022-01-20,Urology,30,22,0.7333,3,3,6,6,9
2022-01-21,Cardiology,44,37,0.8409,4,4,9,9,6
2022-01-21,General Surgery,42,41,0.9762,4,4,9,9,7
2022-01-21,Internal Medicine,64,61,0.9531,6,6,13,13,11
2022-01-21,Neurology,36,28,0.7778,4,4,8,8,7
2022-01-21,Obstetrics,40,30,0.75,4,4,8,8,6
2022-01-21,Oncology,38,34,0.8947,4,4,8,8,2
2022-01-21,Orthopedics,48,40,0.8333,5,5,10,10,6
2022-01-21,Urology,30,22,0.7333,3,3,6,6,8
2022-01-22,Cardiology,44,36,0.8182,4,4,9,9,5
2022-01-22,General Surgery,42,35,0.8333,4,4,9,9,8
2022-01-22,Internal Medicine,64,53,0.8281,6,6,13,13,11
2022-01-22,Neurology,36,28,0.7778,4,4,8,8,8
2022-01-22,Obstetrics,40,29,0.725,4,4,8,8,3
2022-01-22,Oncology,38,32,0.8421,4,4,8,8,9
2022-01-22,Orthopedics,48,36,0.75,5,5,10,10,7
2022-01-22,Urology,30,25,0.8333,3,3,6,6,4
2022-01-23,Cardiology,44,42,0.9545,4,4,9,9,4
2022-01-23,General Surgery,42,31,0.7381,4,4,9,9,10
2022-01-23,Internal Medicine,64,54,0.8438,6,6,13,13,6
2022-01-23,Neurology,36,26,0.7222,4,4,8,8,8
2022-01-23,Obstetrics,40,28,0.7,4,4,8,8,2
2022-01-23,Oncology,38,29,0.7632,4,4,8,8,6
2022-01-23,Orthopedics,48,38,0.7917,5,5,10,10,5
2022-01-23,Urology,30,23,0.7667,3,3,6,6,5
2022-01-24,Cardiology,44,39,0.8864,4,4,9,9,5
2022-01-24,General Surgery,42,35,0.8333,4,4,9,9,5
2022-01-24,Internal Medicine,64,59,0.9219,6,6,13,13,7
2022-01-24,Neurology,36,30,0.8333,4,4,8,8,8
2022-01-24,Obstetrics,40,30,0.75,4,4,8,8,4
2022-01-24,Oncology,38,33,0.8684,4,4,8,8,4
2022-01-24,Orthopedics,48,37,0.7708,5,5,10,9,9
2022-01-24,Urology,30,22,0.7333,3,3,6,6,7
2022-01-25,Cardiology,44,38,0.8636,4,4,9,8,6
2022-01-25,General Surgery,42,35,0.8333,4,4,9,9,9
2022-01-25,Internal Medicine,64,55,0.8594,6,6,13,12,8
2022-01-25,Neurology,36,29,0.8056,4,4,8,8,10
2022-01-25,Obstetrics,40,29,0.725,4,4,8,8,10
2022-01-25,Oncology,38,31,0.8158,4,3,8,8,6
2022-01-25,Orthopedics,48,36,0.75,5,5,10,10,6
2022-01-25,Urology,30,22,0.7333,3,3,6,6,3
2022-01-26,Cardiology,44,38,0.8636,4,3,9,9,9
2022-01-26,General Surgery,42,35,0.8333,4,4,9,9,2
2022-01-26,Internal Medicine,64,61,0.9531,6,6,13,12,4
2022-01-26,Neurology,36,30,0.8333,4,4,8,7,5
2022-01-26,Obstetrics,40,31,0.775,4,4,8,8,8
2022-01-26,Oncology,38,33,0.8684,4,4,8,8,9
2022-01-26,Orthopedics,48,34,0.7083,5,5,10,10,4
2022-01-26,Urology,30,22,0.7333,3,3,6,6,6
2022-01-27,Cardiology,44,40,0.9091,4,4,9,9,14
2022-01-27,General Surgery,42,33,0.7857,4,4,9,9,6
2022-01-27,Internal Medicine,64,58,0.9062,6,6,13,13,9
2022-01-27,Neurology,36,27,0.75,4,4,8,8,5
2022-01-27,Obstetrics,40,32,0.8,4,4,8,8,4
2022-01-27,Oncology,38,34,0.8947,4,4,8,8,6
2022-01-27,Orthopedics,48,38,0.7917,5,5,10,10,5
2022-01-27,Urology,30,22,0.7333,3,3,6,6,5
2022-01-28,Cardiology,44,39,0.8864,4,4,9,9,8
2022-01-28,General Surgery,42,33,0.7857,4,4,9,9,3
2022-01-28,Internal Medicine,64,60,0.9375,6,6,13,13,10
2022-01-28,Neurology,36,26,0.7222,4,4,8,7,8
2022-01-28,Obstetrics,40,31,0.775,4,4,8,8,3
2022-01-28,Oncology,38,33,0.8684,4,4,8,8,7
2022-01-28,Orthopedics,48,35,0.7292,5,5,10,10,4
2022-01-28,Urology,30,22,0.7333,3,3,6,6,3
2022-01-29,Cardiology,44,34,0.7727,4,4,9,9,7
2022-01-29,General Surgery,42,36,0.8571,4,4,9,9,5
2022-01-29,Internal Medicine,64,56,0.875,6,6,13,13,8
2022-01-29,Neurology,36,27,0.75,4,4,8,8,7
2022-01-29,Obstetrics,40,27,0.675,4,4,8,8,6
2022-01-29,Oncology,38,34,0.8947,4,4,8,8,2
2022-01-29,Orthopedics,48,36,0.75,5,5,10,10,4
2022-01-29,Urology,30,23,0.7667,3,3,6,5,4
2022-01-30,Cardiology,44,38,0.8636,4,4,9,9,4
2022-01-30,General Surgery,42,34,0.8095,4,4,9,9,3
2022-01-30,Internal Medicine,64,50,0.7812,6,6,13,12,4
2022-01-30,Neurology,36,27,0.75,4,4,8,8,3
2022-01-30,Obstetrics,40,30,0.75,4,4,8,8,8
2022-01-30,Oncology,38,32,0.8421,4,4,8,8,4
2022-01-30,Orthopedics,48,34,0.7083,5,5,10,10,3
2022-01-30,Urology,30,25,0.8333,3,3,6,6,9
2022-01-31,Cardiology,44,39,0.8864,4,4,9,9,8
2022-01-31,General Surgery,42,35,0.8333,4,4,9,9,6
2022-01-31,Internal Medicine,64,61,0.9531,6,6,13,13,6
2022-01-31,Neurology,36,29,0.8056,4,4,8,8,4
2022-01-31,Obstetrics,40,31,0.775,4,4,8,8,3
2022-01-31,Oncology,38,33,0.8684,4,3,8,8,4
2022-01-31,Orthopedics,48,40,0.8333,5,5,10,10,6
2022-01-31,Urology,30,23,0.7667,3,3,6,5,4
2022-02-01,Cardiology,44,40,0.9091,4,4,9,9,7
2022-02-01,General Surgery,42,37,0.881,4,4,9,9,7
2022-02-01,Internal Medicine,64,59,0.9219,6,6,13,12,11
2022-02-01,Neurology,36,27,0.75,4,4,8,7,4
2022-02-01,Obstetrics,40,28,0.7,4,4,8,8,4
2022-02-01,Oncology,38,32,0.8421,4,4,8,8,3
2022-02-01,Orthopedics,48,36,0.75,5,5,10,10,6
2022-02-01,Urology,30,23,0.7667,3,3,6,6,4
2022-02-02,Cardiology,44,40,0.9091,4,4,9,9,6
2022-02-02,General Surgery,42,33,0.7857,4,4,9,9,13
2022-02-02,Internal Medicine,64,57,0.8906,6,6,13,13,7
2022-02-02,Neurology,36,28,0.7778,4,4,8,7,9
2022-02-02,Obstetrics,40,30,0.75,4,4,8,8,3
2022-02-02,Oncology,38,33,0.8684,4,3,8,8,5
2022-02-02,Orthopedics,48,38,0.7917,5,5,10,10,5
2022-02-02,Urology,30,22,0.7333,3,3,6,6,3
2022-02-03,Cardiology,44,40,0.9091,4,4,9,9,9
2022-02-03,General Surgery,42,35,0.8333,4,4,9,9,9
2022-02-03,Internal Medicine,64,57,0.8906,6,6,13,13,6
2022-02-03,Neurology,36,28,0.7778,4,4,8,8,4
2022-02-03,Obstetrics,40,30,0.75,4,4,8,8,4
2022-02-03,Oncology,38,33,0.8684,4,4,8,8,8
2022-02-03,Orthopedics,48,41,0.8542,5,5,10,9,8
2022-02-03,Urology,30,23,0.7667,3,3,6,6,7
2022-02-04,Cardiology,44,39,0.8864,4,4,9,9,5
2022-02-04,General Surgery,42,32,0.7619,4,4,9,9,10
2022-02-04,Internal Medicine,64,59,0.9219,6,6,13,13,6
2022-02-04,Neurology,36,29,0.8056,4,4,8,8,5
2022-02-04,Obstetrics,40,32,0.8,4,4,8,8,7
2022-02-04,Oncology,38,33,0.8684,4,4,8,8,3
2022-02-04,Orthopedics,48,42,0.875,5,5,10,10,5
2022-02-04,Urology,30,23,0.7667,3,3,6,6,7
2022-02-05,Cardiology,44,37,0.8409,4,4,9,9,4
2022-02-05,General Surgery,42,33,0.7857,4,4,9,9,11
2022-02-05,Internal Medicine,64,59,0.9219,6,6,13,13,7
2022-02-05,Neurology,36,27,0.75,4,4,8,8,4
2022-02-05,Obstetrics,40,29,0.725,4,4,8,8,5
2022-02-05,Oncology,38,32,0.8421,4,4,8,8,6
2022-02-05,Orthopedics,48,36,0.75,5,5,10,10,2
2022-02-05,Urology,30,22,0.7333,3,3,6,6,5
2022-02-06,Cardiology,44,36,0.8182,4,3,9,9,9
2022-02-06,General Surgery,42,33,0.7857,4,3,9,9,7
2022-02-06,Internal Medicine,64,56,0.875,6,6,13,13,8
2022-02-06,Neurology,36,29,0.8056,4,4,8,8,7
2022-02-06,Obstetrics,40,29,0.725,4,4,8,8,3
2022-02-06,Oncology,38,33,0.8684,4,4,8,8,6
2022-02-06,Orthopedics,48,32,0.6667,5,5,10,10,7
2022-02-06,Urology,30,21,0.7,3,3,6,6,8
2022-02-07,Cardiology,44,39,0.8864,4,4,9,9,4
2022-02-07,General Surgery,42,32,0.7619,4,4,9,9,8
2022-02-07,Internal Medicine,64,61,0.9531,6,6,13,13,5
2022-02-07,Neurology,36,28,0.7778,4,4,8,7,7
2022-02-07,Obstetrics,40,31,0.775,4,4,8,8,6
2022-02-07,Oncology,38,33,0.8684,4,4,8,8,7
2022-02-07,Orthopedics,48,41,0.8542,5,5,10,9,5
2022-02-07,Urology,30,26,0.8667,3,3,6,6,6
2022-02-08,Cardiology,44,39,0.8864,4,4,9,9,9
2022-02-08,General Surgery,42,35,0.8333,4,4,9,9,1
2022-02-08,Internal Medicine,64,57,0.8906,6,6,13,13,7
2022-02-08,Neurology,36,27,0.75,4,4,8,8,9
2022-02-08,Obstetrics,40,28,0.7,4,4,8,8,2
2022-02-08,Oncology,38,34,0.8947,4,4,8,8,2
2022-02-08,Orthopedics,48,40,0.8333,5,4,10,10,4
2022-02-08,Urology,30,23,0.7667,3,3,6,6,3
2022-02-09,Cardiology,44,36,0.8182,4,4,9,9,9
2022-02-09,General Surgery,42,35,0.8333,4,4,9,9,4
2022-02-09,Internal Medicine,64,58,0.9062,6,6,13,12,11
2022-02-09,Neurology,36,27,0.75,4,4,8,8,7
2022-02-09,Obstetrics,40,28,0.7,4,4,8,8,6
2022-02-09,Oncology,38,36,0.9474,4,4,8,8,5
2022-02-09,Orthopedics,48,39,0.8125,5,5,10,10,7
2022-02-09,Urology,30,23,0.7667,3,3,6,6,3
2022-02-10,Cardiology,44,39,0.8864,4,4,9,9,4
2022-02-10,General Surgery,42,33,0.7857,4,4,9,9,7
2022-02-10,Internal Medicine,64,56,0.875,6,6,13,13,7
2022-02-10,Neurology,36,30,0.8333,4,4,8,8,4
2022-02-10,Obstetrics,40,30,0.75,4,4,8,8,5
2022-02-10,Oncology,38,34,0.8947,4,4,8,7,6
2022-02-10,Orthopedics,48,40,0.8333,5,5,10,10,13
2022-02-10,Urology,30,25,0.8333,3,3,6,5,4
2022-02-11,Cardiology,44,38,0.8636,4,4,9,9,5
2022-02-11,General Surgery,42,34,0.8095,4,4,9,9,4
2022-02-11,Internal Medicine,64,63,0.9844,6,5,13,13,9
2022-02-11,Neurology,36,29,0.8056,4,4,8,8,7
2022-02-11,Obstetrics,40,30,0.75,4,4,8,8,5
2022-02-11,Oncology,38,33,0.8684,4,4,8,8,9
2022-02-11,Orthopedics,48,39,0.8125,5,5,10,10,4
2022-02-11,Urology,30,22,0.7333,3,3,6,6,11
2022-02-12,Cardiology,44,37,0.8409,4,3,9,9,3
2022-02-12,General Surgery,42,34,0.8095,4,4,9,8,4
2022-02-12,Internal Medicine,64,51,0.7969,6,6,13,13,6
2022-02-12,Neurology,36,27,0.75,4,4,8,7,4
2022-02-12,Obstetrics,40,28,0.7,4,4,8,8,8
2022-02-12,Oncology,38,31,0.8158,4,4,8,8,3
2022-02-12,Orthopedics,48,35,0.7292,5,5,10,10,7
2022-02-12,Urology,30,23,0.7667,3,3,6,5,4
2022-02-13,Cardiology,44,35,0.7955,4,4,9,9,3
2022-02-13,General Surgery,42,34,0.8095,4,4,9,8,6
2022-02-13,Internal Medicine,64,62,0.9688,6,6,13,13,6
2022-02-13,Neurology,36,26,0.7222,4,4,8,8,10
2022-02-13,Obstetrics,40,28,0.7,4,4,8,8,7
2022-02-13,Oncology,38,30,0.7895,4,4,8,8,5
2022-02-13,Orthopedics,48,38,0.7917,5,5,10,10,5
2022-02-13,Urology,30,23,0.7667,3,3,6,6,6
2022-02-14,Cardiology,44,40,0.9091,4,4,9,9,8
2022-02-14,General Surgery,42,34,0.8095,4,4,9,9,10
2022-02-14,Internal Medicine,64,59,0.9219,6,6,13,13,7
2022-02-14,Neurology,36,29,0.8056,4,3,8,8,8
2022-02-14,Obstetrics,40,30,0.75,4,4,8,8,5
2022-02-14,Oncology,38,32,0.8421,4,4,8,8,3
2022-02-14,Orthopedics,48,35,0.7292,5,5,10,10,3
2022-02-14,Urology,30,26,0.8667,3,3,6,5,4
2022-02-15,Cardiology,44,38,0.8636,4,4,9,8,4
2022-02-15,General Surgery,42,35,0.8333,4,4,9,9,6
2022-02-15,Internal Medicine,64,61,0.9531,6,6,13,13,8
2022-02-15,Neurology,36,31,0.8611,4,4,8,8,10
2022-02-15,Obstetrics,40,32,0.8,4,4,8,8,9
2022-02-15,Oncology,38,33,0.8684,4,4,8,8,10
2022-02-15,Orthopedics,48,38,0.7917,5,5,10,10,4
2022-02-15,Urology,30,23,0.7667,3,3,6,6,8
2022-02-16,Cardiology,44,38,0.8636,4,4,9,9,8
2022-02-16,General Surgery,42,37,0.881,4,4,9,9,5
2022-02-16,Internal Medicine,64,61,0.9531,6,6,13,13,6
2022-02-16,Neurology,36,32,0.8889,4,4,8,8,8
2022-02-16,Obstetrics,40,31,0.775,4,4,8,8,10
2022-02-16,Oncology,38,35,0.9211,4,4,8,8,9
2022-02-16,Orthopedics,48,40,0.8333,5,5,10,10,6
2022-02-16,Urology,30,23,0.7667,3,3,6,6,2
2022-02-17,Cardiology,44,38,0.8636,4,4,9,9,10
2022-02-17,General Surgery,42,32,0.7619,4,4,9,9,10
2022-02-17,Internal Medicine,64,59,0.9219,6,6,13,12,2
2022-02-17,Neurology,36,32,0.8889,4,4,8,8,12
2022-02-17,Obstetrics,40,29,0.725,4,4,8,8,8
2022-02-17,Oncology,38,31,0.8158,4,4,8,7,3
2022-02-17,Orthopedics,48,37,0.7708,5,5,10,10,4
2022-02-17,Urology,30,23,0.7667,3,3,6,6,6
2022-02-18,Cardiology,44,39,0.8864,4,3,9,9,11
2022-02-18,General Surgery,42,37,0.881,4,4,9,8,5
2022-02-18,Internal Medicine,64,60,0.9375,6,6,13,13,7
2022-02-18,Neurology,36,28,0.7778,4,4,8,8,4
2022-02-18,Obstetrics,40,28,0.7,4,3,8,8,2
2022-02-18,Oncology,38,34,0.8947,4,4,8,8,3
2022-02-18,Orthopedics,48,37,0.7708,5,5,10,10,8
2022-02-18,Urology,30,24,0.8,3,3,6,6,4
2022-02-19,Cardiology,44,37,0.8409,4,4,9,9,7
2022-02-19,General Surgery,42,37,0.881,4,4,9,9,8
2022-02-19,Internal Medicine,64,51,0.7969,6,6,13,12,5
2022-02-19,Neurology,36,29,0.8056,4,4,8,8,3
2022-02-19,Obstetrics,40,30,0.75,4,4,8,8,1
2022-02-19,Oncology,38,32,0.8421,4,4,8,8,7
2022-02-19,Orthopedics,48,34,0.7083,5,5,10,10,5
2022-02-19,Urology,30,22,0.7333,3,3,6,5,10
2022-02-20,Cardiology,44,33,0.75,4,4,9,9,6
2022-02-20,General Surgery,42,34,0.8095,4,4,9,9,9
2022-02-20,Internal Medicine,64,59,0.9219,6,5,13,13,8
2022-02-20,Neurology,36,28,0.7778,4,4,8,8,7
2022-02-20,Obstetrics,40,26,0.65,4,4,8,8,3
2022-02-20,Oncology,38,36,0.9474,4,4,8,8,11
2022-02-20,Orthopedics,48,37,0.7708,5,4,10,10,5
2022-02-20,Urology,30,22,0.7333,3,3,6,6,3
2022-02-21,Cardiology,44,36,0.8182,4,4,9,9,3
2022-02-21,General Surgery,42,37,0.881,4,4,9,9,7
2022-02-21,Internal Medicine,64,56,0.875,6,6,13,13,9
2022-02-21,Neurology,36,26,0.7222,4,4,8,7,5
2022-02-21,Obstetrics,40,29,0.725,4,4,8,8,4
2022-02-21,Oncology,38,31,0.8158,4,4,8,8,10
2022-02-21,Orthopedics,48,39,0.8125,5,5,10,9,8
2022-02-21,Urology,30,24,0.8,3,3,6,6,4
2022-02-22,Cardiology,44,38,0.8636,4,4,9,9,9
2022-02-22,General Surgery,42,34,0.8095,4,4,9,9,13
2022-02-22,Internal Medicine,64,54,0.8438,6,6,13,13,9
2022-02-22,Neurology,36,26,0.7222,4,4,8,8,5
2022-02-22,Obstetrics,40,31,0.775,4,4,8,8,4
2022-02-22,Oncology,38,33,0.8684,4,4,8,8,5
2022-02-22,Orthopedics,48,41,0.8542,5,5,10,10,7
2022-02-22,Urology,30,22,0.7333,3,2,6,6,6
2022-02-23,Cardiology,44,36,0.8182,4,4,9,9,7
2022-02-23,General Surgery,42,31,0.7381,4,4,9,9,7
2022-02-23,Internal Medicine,64,61,0.9531,6,6,13,13,8
2022-02-23,Neurology,36,30,0.8333,4,4,8,8,5
2022-02-23,Obstetrics,40,30,0.75,4,4,8,8,3
2022-02-23,Oncology,38,34,0.8947,4,4,8,8,9
2022-02-23,Orthopedics,48,38,0.7917,5,5,10,10,8
2022-02-23,Urology,30,23,0.7667,3,3,6,6,4
2022-02-24,Cardiology,44,34,0.7727,4,4,9,9,6
2022-02-24,General Surgery,42,32,0.7619,4,4,9,9,12
2022-02-24,Internal Medicine,64,58,0.9062,6,6,13,12,4
